name	reason
AH11110	no aromatic nitrogen (cannot coordinate the heme iron)
AH6809	no aromatic nitrogen (cannot coordinate the heme iron)
AI-10-49	47 heavy atoms > 45 (outside applicability domain)
AJ76-___	no aromatic nitrogen (cannot coordinate the heme iron)
ajmaline	no aromatic nitrogen (cannot coordinate the heme iron)
AK-7	no aromatic nitrogen (cannot coordinate the heme iron)
AKBA	no aromatic nitrogen (cannot coordinate the heme iron)
aklomide	no aromatic nitrogen (cannot coordinate the heme iron)
alacepril	no aromatic nitrogen (cannot coordinate the heme iron)
alafosfalin	no aromatic nitrogen (cannot coordinate the heme iron)
alanine	unparseable SMILES
alanosine	no aromatic nitrogen (cannot coordinate the heme iron)
alantolactone	no aromatic nitrogen (cannot coordinate the heme iron)
alaproclate	no aromatic nitrogen (cannot coordinate the heme iron)
alarelin	84 heavy atoms > 45 (outside applicability domain)
albuterol	no aromatic nitrogen (cannot coordinate the heme iron)
alclofenac	no aromatic nitrogen (cannot coordinate the heme iron)
alclometasone-dipropionate	unparseable SMILES
alcuronium	unparseable SMILES
alda-1	no aromatic nitrogen (cannot coordinate the heme iron)
aldoxorubicin	54 heavy atoms > 45 (outside applicability domain)
alendronate	no aromatic nitrogen (cannot coordinate the heme iron)
alexidine	unparseable SMILES
alfacalcidol	no aromatic nitrogen (cannot coordinate the heme iron)
alfadolone-acetate	no aromatic nitrogen (cannot coordinate the heme iron)
algestone-acetophenide	no aromatic nitrogen (cannot coordinate the heme iron)
alibendol	no aromatic nitrogen (cannot coordinate the heme iron)
alimemazine	no aromatic nitrogen (cannot coordinate the heme iron)
alinidine	no aromatic nitrogen (cannot coordinate the heme iron)
aliskiren-hemifumarate	no aromatic nitrogen (cannot coordinate the heme iron)
alisporivir	86 heavy atoms > 45 (outside applicability domain)
alizapride	unparseable SMILES
alizarin	no aromatic nitrogen (cannot coordinate the heme iron)
allantoin	no aromatic nitrogen (cannot coordinate the heme iron)
allicin	unparseable SMILES
allylestrenol	no aromatic nitrogen (cannot coordinate the heme iron)
allylisothiocyanate	no aromatic nitrogen (cannot coordinate the heme iron)
allylthiourea	no aromatic nitrogen (cannot coordinate the heme iron)
almorexant	no aromatic nitrogen (cannot coordinate the heme iron)
aloe-emodin	no aromatic nitrogen (cannot coordinate the heme iron)
aloin	no aromatic nitrogen (cannot coordinate the heme iron)
aloperine	no aromatic nitrogen (cannot coordinate the heme iron)
aloxistatin	no aromatic nitrogen (cannot coordinate the heme iron)
alpha-asarone	no aromatic nitrogen (cannot coordinate the heme iron)
alpha-D-glucopyranose	no aromatic nitrogen (cannot coordinate the heme iron)
alpha-glucosyl-hesperidin	54 heavy atoms > 45 (outside applicability domain)
alpha-linolenic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
alpha-tochopherol	unparseable SMILES
alpha-tochopheryl-acetate	unparseable SMILES
alprenolol	unparseable SMILES
alprostadil	no aromatic nitrogen (cannot coordinate the heme iron)
alrestatin	no aromatic nitrogen (cannot coordinate the heme iron)
althiazide	unparseable SMILES
altrenogest	unparseable SMILES
alverine	no aromatic nitrogen (cannot coordinate the heme iron)
alvespimycin	unparseable SMILES
alvimopan	no aromatic nitrogen (cannot coordinate the heme iron)
alvocidib	no aromatic nitrogen (cannot coordinate the heme iron)
ALX-40-4C	103 heavy atoms > 45 (outside applicability domain)
ALX-5407	no aromatic nitrogen (cannot coordinate the heme iron)
AM-1241	unparseable SMILES
AM-24	no aromatic nitrogen (cannot coordinate the heme iron)
AM-404	no aromatic nitrogen (cannot coordinate the heme iron)
AM-580	no aromatic nitrogen (cannot coordinate the heme iron)
AM-92016	no aromatic nitrogen (cannot coordinate the heme iron)
AM211	no aromatic nitrogen (cannot coordinate the heme iron)
AM679	50 heavy atoms > 45 (outside applicability domain)
amantadine	no aromatic nitrogen (cannot coordinate the heme iron)
ambazone	no aromatic nitrogen (cannot coordinate the heme iron)
ambenonium	no aromatic nitrogen (cannot coordinate the heme iron)
ambroxol	no aromatic nitrogen (cannot coordinate the heme iron)
amcinonide	unparseable SMILES
amdinocillin	no aromatic nitrogen (cannot coordinate the heme iron)
ameltolide	no aromatic nitrogen (cannot coordinate the heme iron)
ametantrone	no aromatic nitrogen (cannot coordinate the heme iron)
amfenac	no aromatic nitrogen (cannot coordinate the heme iron)
AMG-176	no aromatic nitrogen (cannot coordinate the heme iron)
AMG-232	no aromatic nitrogen (cannot coordinate the heme iron)
AMG-487-___-_	unparseable SMILES
AMG-837	no aromatic nitrogen (cannot coordinate the heme iron)
AMG-9810	no aromatic nitrogen (cannot coordinate the heme iron)
AMG319	unparseable SMILES
AMI-1	no aromatic nitrogen (cannot coordinate the heme iron)
amibegron	no aromatic nitrogen (cannot coordinate the heme iron)
amiflamine	unparseable SMILES
amifostine	no aromatic nitrogen (cannot coordinate the heme iron)
amikacin	no aromatic nitrogen (cannot coordinate the heme iron)
amineptine	no aromatic nitrogen (cannot coordinate the heme iron)
aminocaproic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
aminoglutethimide	unparseable SMILES
aminoguanidine	no aromatic nitrogen (cannot coordinate the heme iron)
aminohydroxybutyric-acid	unparseable SMILES
aminolevulinic-acid-benzyl-ester	no aromatic nitrogen (cannot coordinate the heme iron)
aminomethyltransferase	unparseable SMILES
aminopentamide	no aromatic nitrogen (cannot coordinate the heme iron)
aminosalicylate	no aromatic nitrogen (cannot coordinate the heme iron)
amiodarone	no aromatic nitrogen (cannot coordinate the heme iron)
amiprilose	no aromatic nitrogen (cannot coordinate the heme iron)
amiselimod	no aromatic nitrogen (cannot coordinate the heme iron)
amisulpride	unparseable SMILES
amitifadine	unparseable SMILES
amitraz	no aromatic nitrogen (cannot coordinate the heme iron)
amitriptyline	no aromatic nitrogen (cannot coordinate the heme iron)
amlodipine	unparseable SMILES
ammonium-glycyrrhizinate	58 heavy atoms > 45 (outside applicability domain)
ammonium-lactate	unparseable SMILES
ammonium-perfluorocaprylate	no aromatic nitrogen (cannot coordinate the heme iron)
AMN-082	no aromatic nitrogen (cannot coordinate the heme iron)
amonafide	no aromatic nitrogen (cannot coordinate the heme iron)
amorolfine	unparseable SMILES
amoxapine	no aromatic nitrogen (cannot coordinate the heme iron)
amoxicillin	no aromatic nitrogen (cannot coordinate the heme iron)
amperozide	no aromatic nitrogen (cannot coordinate the heme iron)
amphotericin-b	unparseable SMILES
ampicillin	no aromatic nitrogen (cannot coordinate the heme iron)
ampiroxicam	unparseable SMILES
amprenavir	no aromatic nitrogen (cannot coordinate the heme iron)
amrubicin	no aromatic nitrogen (cannot coordinate the heme iron)
amygdalin	no aromatic nitrogen (cannot coordinate the heme iron)
amyl-nitrite	no aromatic nitrogen (cannot coordinate the heme iron)
amyleine	no aromatic nitrogen (cannot coordinate the heme iron)
amylene-hydrate	no aromatic nitrogen (cannot coordinate the heme iron)
AN2718	no aromatic nitrogen (cannot coordinate the heme iron)
ANA-12	unparseable SMILES
anabasine	unparseable SMILES
anacetrapib	no aromatic nitrogen (cannot coordinate the heme iron)
anagrelide	no aromatic nitrogen (cannot coordinate the heme iron)
anandamide	no aromatic nitrogen (cannot coordinate the heme iron)
andarine	no aromatic nitrogen (cannot coordinate the heme iron)
andrographolide	no aromatic nitrogen (cannot coordinate the heme iron)
androstenone	unparseable SMILES
androsterone	no aromatic nitrogen (cannot coordinate the heme iron)
anecortave-acetate	unparseable SMILES
anethole	no aromatic nitrogen (cannot coordinate the heme iron)
anethole-trithione	no aromatic nitrogen (cannot coordinate the heme iron)
anguidine	no aromatic nitrogen (cannot coordinate the heme iron)
anidulafungin	82 heavy atoms > 45 (outside applicability domain)
aniracetam	no aromatic nitrogen (cannot coordinate the heme iron)
anisindione	no aromatic nitrogen (cannot coordinate the heme iron)
anisodamine	unparseable SMILES
anisomycin	no aromatic nitrogen (cannot coordinate the heme iron)
anisotropine	no aromatic nitrogen (cannot coordinate the heme iron)
ansamitocin-p-3	unparseable SMILES
antagonist-g	68 heavy atoms > 45 (outside applicability domain)
antazoline	no aromatic nitrogen (cannot coordinate the heme iron)
anthralin	no aromatic nitrogen (cannot coordinate the heme iron)
anthraquinone	no aromatic nitrogen (cannot coordinate the heme iron)
antimony-potassium	no aromatic nitrogen (cannot coordinate the heme iron)
antimonyl	no aromatic nitrogen (cannot coordinate the heme iron)
antimycin-A	no aromatic nitrogen (cannot coordinate the heme iron)
antioxine	no aromatic nitrogen (cannot coordinate the heme iron)
AP-18	no aromatic nitrogen (cannot coordinate the heme iron)
AP1903	102 heavy atoms > 45 (outside applicability domain)
apararenone	no aromatic nitrogen (cannot coordinate the heme iron)
APC-100	no aromatic nitrogen (cannot coordinate the heme iron)
aphidicolin	no aromatic nitrogen (cannot coordinate the heme iron)
apigenin	no aromatic nitrogen (cannot coordinate the heme iron)
apocynin	no aromatic nitrogen (cannot coordinate the heme iron)
apoptosis-activator-II	no aromatic nitrogen (cannot coordinate the heme iron)
APR-246	unparseable SMILES
apraclonidine	no aromatic nitrogen (cannot coordinate the heme iron)
apramycin	no aromatic nitrogen (cannot coordinate the heme iron)
apratastat	no aromatic nitrogen (cannot coordinate the heme iron)
apremilast	no aromatic nitrogen (cannot coordinate the heme iron)
aprindine	no aromatic nitrogen (cannot coordinate the heme iron)
apronal	unparseable SMILES
aptiganel	no aromatic nitrogen (cannot coordinate the heme iron)
AR-42	no aromatic nitrogen (cannot coordinate the heme iron)
arachidonic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
aramchol	50 heavy atoms > 45 (outside applicability domain)
arbutin	no aromatic nitrogen (cannot coordinate the heme iron)
ARC-239	no aromatic nitrogen (cannot coordinate the heme iron)
arctigenin	no aromatic nitrogen (cannot coordinate the heme iron)
ardeparin	no aromatic nitrogen (cannot coordinate the heme iron)
arecaidine-but-2-ynyl-ester	no aromatic nitrogen (cannot coordinate the heme iron)
arecaidine-propargyl-ester	no aromatic nitrogen (cannot coordinate the heme iron)
arecoline	no aromatic nitrogen (cannot coordinate the heme iron)
argatroban	unparseable SMILES
argireline	61 heavy atoms > 45 (outside applicability domain)
arglabin	no aromatic nitrogen (cannot coordinate the heme iron)
aripiprazole	no aromatic nitrogen (cannot coordinate the heme iron)
aripiprazole-lauroxil	no aromatic nitrogen (cannot coordinate the heme iron)
arotinolol	unparseable SMILES
arsanilic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
arsenic-trioxide	no aromatic nitrogen (cannot coordinate the heme iron)
artemether	no aromatic nitrogen (cannot coordinate the heme iron)
artemisinin	no aromatic nitrogen (cannot coordinate the heme iron)
artemotil	no aromatic nitrogen (cannot coordinate the heme iron)
artesunate	no aromatic nitrogen (cannot coordinate the heme iron)
