rank	ligand	N_Fe_dist_A	vina_kcal_mol
2283	ZK-200775	5.381	-6.9
2284	CP-724714	5.383	-11.2
2285	WZ4003	5.385	-10.6
2286	SC-144	5.388	-10.1
2287	SB-218795	5.388	-10.9
2288	ADD-233089	5.393	-8.4
2289	ceritinib	5.395	-8.1
2290	zolimidine	5.395	-9.0
2291	TC-G-1004	5.396	-10.1
2292	TRV130	5.402	-9.3
2293	elinogrel	5.402	-11.6
2294	AF38469	5.403	-9.4
2295	GSK1292263	5.404	-11.4
2296	IOX2	5.404	-9.4
2297	leflunomide	5.409	-8.9
2298	vinpocetine	5.409	-7.8
2299	tie2-kinase-inhibitor	5.417	-8.6
2300	TC-SP-14	5.419	-11.8
2301	capecitabine	5.421	-8.8
2302	norfloxacin	5.422	-9.4
2303	Gue-1654	5.424	-8.3
2304	SB-590885	5.427	-8.6
2305	abafungin	5.427	-11.7
2306	UNC3230	5.429	-10.4
2307	CUDC-907	5.437	-10.1
2308	KAF-156	5.438	-9.3
2309	FPL-62064	5.438	-9.5
2310	BEBT-908	5.439	-10.3
2311	WIKI4	5.447	-10.0
2312	methiazole	5.464	-7.9
2313	albendazole	5.464	-7.6
2314	VU0360172	5.467	-9.8
2315	gemifloxacin	5.469	-7.7
2316	AL-8697	5.470	-10.4
2317	saroglitazar	5.475	-9.4
2318	CK-101	5.484	-11.5
2319	mericitabine	5.486	-8.6
2320	AZD3839	5.496	-9.9
2321	SGI-1776	5.499	-10.6
2322	MK-2048	5.499	-9.1
2323	MK-1775	5.500	-11.4
2324	ebselen	5.502	-8.6
2325	LY2801653	5.504	-12.3
2326	aminopurvalanol-a	5.504	-8.4
2327	Imazodan	5.507	-8.5
2328	lomefloxacin	5.507	-9.8
2329	DHBP	5.508	-8.7
2330	7-methoxytacrine	5.509	-8.5
2331	ocaperidone	5.512	-12.1
2332	acemetacin	5.515	-8.9
2333	LSN-2463359	5.520	-8.4
2334	GW-405833	5.521	-9.3
2335	trovafloxacin	5.524	-10.0
2336	pyrvinium-pamoate	5.525	-10.1
2337	indomethacin	5.528	-9.6
2338	tulrampator	5.532	-11.0
2339	velneperit	5.535	-10.2
2340	AP26113	5.540	-8.3
2341	PD-173074	5.544	-8.4
2342	TAK-715	5.549	-10.0
2343	2-_1-_4-piperonyl_piperazinyl_benzothiazole	5.554	-10.9
2344	brexpiprazole	5.555	-10.8
2345	tolmetin	5.557	-9.0
2346	N-methylquipazine	5.560	-8.6
2347	GSK-J4	5.566	-9.5
2348	ASP-9521	5.566	-9.4
2349	PSB-603	5.568	-10.8
2350	lumacaftor	5.570	-12.3
2351	ribociclib	5.573	-12.1
2352	ALS-8176	5.574	-8.7
2353	zafirlukast	5.581	-11.2
2354	KRCA-0008	5.582	-10.6
2355	VLX600	5.583	-10.0
2356	fleroxacin	5.587	-9.7
2357	9-aminocamptothecin	5.590	-8.8
2358	SB-525334	5.592	-9.1
2359	JNJ-40411813	5.598	-9.7
2360	M-25	5.599	-9.9
2361	ML204	5.615	-9.0
2362	LY393558	5.616	-11.0
2363	ethaverine	5.619	-8.0
2364	LB42708	5.621	-11.4
2365	crizotinib-_S_	5.623	-11.0
2366	3-MPPI	5.625	-10.9
2367	pifithrin-cyclic	5.629	-9.3
2368	GSK-J5	5.636	-9.6
2369	GDC-0980	5.636	-9.1
2370	indeglitazar	5.643	-9.5
2371	PFK-158	5.645	-10.4
2372	LXR-623	5.646	-8.9
2373	ITX3	5.648	-8.5
2374	PSB-1115	5.649	-9.3
2375	ASTX660	5.660	-6.7
2376	Mps1-IN-5	5.663	-11.5
2377	HMN-214	5.664	-10.5
2378	topotecan	5.666	-8.7
2379	tepoxalin	5.670	-8.8
2380	conivaptan	5.671	-11.0
2381	ataluren	5.674	-10.2
2382	difloxacin	5.678	-9.7
2383	ELN-441958	5.681	-12.3
2384	LY2608204	5.684	-8.8
2385	DMP-543	5.688	-10.0
2386	GPR120-modulator-1	5.692	-9.8
2387	larotrectinib	5.694	-8.5
2388	rosuvastatin	5.696	-9.1
2389	LCL-161	5.698	-9.3
2390	prinaberel	5.701	-9.0
2391	rubitecan	5.702	-8.5
2392	ezutromid	5.705	-8.9
2393	AFN-1252	5.715	-11.4
2394	belotecan	5.718	-8.0
2395	VE-821	5.729	-10.3
2396	citarinostat	5.730	-9.5
2397	SNX-5422	5.731	-9.8
2398	PNU-120596	5.737	-8.2
2399	amenamevir	5.738	-10.5
2400	SLV-320	5.738	-9.7
2401	STF-62247	5.744	-8.8
2402	KY02111	5.745	-10.0
2403	ARQ-621	5.747	-7.2
2404	UCL-2077	5.748	-9.2
2405	pyrintegrin	5.758	-11.6
2406	VX-745	5.758	-11.0
2407	merimepodib	5.765	-11.2
2408	CCT137690	5.765	-9.9
2409	JTC-801	5.775	-10.3
2410	TC-S-7003	5.790	-6.5
2411	aprepitant	5.792	-10.4
2412	BMS-566419	5.792	-9.9
2413	WAY-200070	5.797	-8.7
2414	SB-705498	5.802	-10.3
2415	GSK-J2	5.802	-9.7
2416	danusertib	5.814	-10.7
2417	derazantinib	5.815	-11.6
2418	JTE-907	5.816	-9.5
2419	betrixaban	5.832	-10.4
2420	tezacaftor	5.833	-10.3
2421	PH-797804	5.838	-12.0
2422	sertindole	5.848	-11.8
2423	daprodustat	5.851	-8.9
2424	tozadenant	5.852	-7.8
2425	sodium-picosulfate	5.852	-9.8
2426	RAF709	5.854	-9.8
2427	SIS3	5.860	-10.1
2428	elacridar	5.861	-11.8
2429	bretazenil	5.862	-8.8
2430	centhaquin	5.867	-10.8
2431	brequinar	5.867	-10.3
2432	nTZDpa	5.869	-10.3
2433	pavinetant	5.880	-10.0
2434	sparfloxacin	5.886	-9.1
2435	PZ-2891	5.890	-10.0
2436	XL019	5.900	-11.6
2437	KI-8751	5.907	-11.7
2438	MK-2206	5.909	-10.3
2439	delafloxacin	5.914	-8.3
2440	deferasirox-iron-chelate	5.918	-10.5
2441	GDC-0349	5.922	-6.2
2442	CX-4945	5.923	-10.4
2443	acalabrutinib	5.925	-10.3
2444	NVP-BGJ398	5.929	-10.5
2445	AS-1892802	5.933	-9.9
2446	laropiprant	5.935	-7.9
2447	crizotinib	5.939	-10.6
2448	NHI-2	5.942	-10.1
2449	reversan	5.944	-10.7
2450	KPT-185	5.945	-9.3
2451	cangrelor	5.945	-8.9
2452	GSK3117391	5.946	-10.7
2453	TAK-063	5.946	-9.4
2454	CUDC-427	5.948	-6.7
2455	apalutamide	5.948	-9.4
2456	SRT2104	5.953	-7.6
2457	PD-123319	5.962	-9.8
2458	SANT-2	5.963	-9.0
2459	MK-7246	5.966	-10.0
2460	L-168049	5.968	-8.6
2461	sanguinarium-chloride	5.969	-11.5
2462	MY-5445	5.978	-10.8
2463	PF-06751979	5.979	-10.6
2464	PSI-697	5.980	-10.9
2465	avatrombopag	5.988	-9.9
2466	ML314	5.988	-6.6
2467	delavirdine	6.002	-11.0
2468	ML786	6.009	-10.9
2469	tafamidis-meglumine	6.018	-9.2
2470	AZD3988	6.033	-11.8
2471	AMG458	6.034	-11.4
2472	ZM-241385	6.039	-10.5
2473	SAG	6.039	-10.3
2474	BMS-754807	6.042	-9.8
2475	PF-06747775	6.044	-7.5
2476	pyrotinib	6.045	-8.5
2477	HC-067047	6.046	-10.1
2478	tegobuvir	6.050	-13.2
2479	pirodavir	6.057	-9.7
2480	BAY-2402234	6.061	-11.0
2481	zardaverine	6.065	-8.4
2482	PHA-680632	6.071	-10.1
2483	GSK3179106	6.080	-10.3
2484	tenofovir-disoproxil	6.085	-8.5
2485	sonidegib	6.087	-11.6
2486	etrasimod	6.089	-11.8
2487	ER-50891	6.089	-12.3
2488	asapiprant	6.100	-11.0
2489	siramesine	6.114	-12.8
2490	L-701324	6.115	-11.1
2491	AMG-548	6.115	-11.7
2492	LY2334737	6.119	-9.5
2493	SP-100030	6.121	-9.6
2494	evacetrapib	6.124	-5.6
2495	TP-3654	6.126	-9.5
2496	fentiazac	6.129	-9.1
2497	neratinib	6.135	-9.0
2498	oxaprozin	6.137	-9.3
2499	VX-11e	6.145	-11.7
2500	COH29	6.147	-8.7
2501	fisogatinib	6.148	-9.8
2502	R-59022	6.156	-9.4
2503	rimegepant	6.159	-11.1
2504	K02288	6.183	-10.1
2505	CYM-50769	6.188	-12.1
2506	ML179	6.188	-12.2
2507	mibefradil	6.190	-9.6
2508	INH1	6.194	-10.3
2509	GKA-50	6.196	-10.0
2510	AZD3759	6.204	-8.9
2511	LY2090314	6.205	-7.6
2512	pimozide	6.206	-12.3
2513	SC-51089	6.208	-11.2
2514	GSK1838705A	6.218	-7.2
2515	ERK5-IN-1	6.229	-9.1
2516	pemafibrate	6.243	-10.4
2517	denotivir	6.248	-9.4
2518	A-867744	6.259	-8.7
2519	GW-842166	6.271	-10.3
2520	ORG-27569	6.274	-10.9
2521	NVP-231	6.282	-11.9
2522	rebastinib	6.300	-12.0
2523	dehydrocorydaline	6.304	-9.0
2524	dilmapimod	6.305	-8.2
2525	SN-38	6.308	-8.5
2526	MK-5108	6.313	-10.8
2527	cbl0137	6.316	-8.9
2528	camptothecin	6.330	-10.8
2529	enocitabine	6.334	-9.0
2530	palovarotene	6.338	-10.0
2531	CM-4620	6.348	-11.4
2532	10-hydroxycamptothecin	6.352	-10.7
2533	RWJ-67657	6.366	-8.8
2534	MRX-2843	6.376	-9.3
2535	N6022	6.386	-9.2
2536	CEP-37440	6.393	-8.9
2537	pacritinib	6.396	-3.5
2538	tenalisib	6.414	-9.4
2539	XE-991	6.415	-9.2
2540	mizolastine	6.432	-12.3
2541	KPT-9274	6.435	-12.2
2542	PK-THPP	6.439	-12.1
2543	esaxerenone	6.446	-11.0
2544	UNC1999	6.447	-8.0
2545	SR-3576	6.458	-11.1
2546	palmatine-chloride	6.463	-8.8
2547	SC-236	6.468	-9.4
2548	PLX51107	6.470	-9.9
2549	naltrindole	6.474	-10.9
2550	apabetalone	6.480	-8.6
2551	GNTI	6.481	-10.1
2552	selexipag	6.497	-9.6
2553	UNC2250	6.501	-9.1
2554	RGB-286638	6.509	-10.4
2555	almitrine	6.512	-8.4
2556	LEQ506	6.566	-9.6
2557	homidium	6.577	-9.5
2558	cinalukast	6.601	-10.2
2559	lonafarnib	6.601	-11.1
2560	AC-261066	6.639	-8.2
2561	soraprazan	6.642	-8.9
2562	BMS-986158	6.672	-6.4
2563	eltanexor	6.706	-11.1
2564	anamorelin	6.707	-9.3
2565	aurora-a-inhibitor-i	6.739	-12.6
2566	SEW-2871	6.790	-11.6
2567	tosufloxacin	6.795	-9.7
2568	APcK-110	6.798	-10.4
2569	_CP-945_598_	6.798	-10.1
2570	zosuquidar	6.843	-11.7
2571	veliflapon	6.860	-11.4
2572	dacomitinib	6.893	-9.8
2573	TC-I-2014	6.925	-12.2
2574	bitopertin	6.963	-10.6
2575	GSK2816126	6.978	-8.7
2576	adoprazine	6.994	-11.4
2577	icotinib	7.029	-9.2
2578	bedaquiline	7.056	-8.7
2579	LY2828360	7.132	-8.1
2580	PF-03814735	7.152	-11.1
2581	YM-201636	7.156	-11.8
2582	MJ-15	7.186	-9.4
2583	atorvastatin	7.190	-6.8
2584	KPT-276	7.212	-11.0
2585	BMY-45778	7.219	-9.6
2586	GSK503	7.220	-8.9
2587	sarafloxacin	7.243	-9.8
2588	doramapimod	7.260	-8.9
2589	mavatrep	7.287	-12.3
2590	montelukast	7.291	-10.9
2591	yoda-1	7.296	-8.5
2592	azilsartan-medoxomil	7.317	-9.0
2593	UNC2025	7.348	-8.8
2594	quiflapon	7.366	-10.3
2595	sograzepide	7.403	-9.5
2596	reserpine	7.403	-7.7
2597	ziritaxestat	7.408	-6.3
2598	rupatadine	7.453	-10.5
2599	AZD8055	7.460	-4.4
2600	AVE-0991	7.487	-8.6
2601	MK-886	7.521	-7.9
2602	ergotamine	7.539	-7.3
2603	PD-161570	7.544	-9.2
2604	dihydroergocristine	7.558	-4.9
2605	Rec-15_2615	7.571	-9.5
2606	fosaprepitant-dimeglumine	7.592	-9.7
2607	avanafil	7.650	-9.1
2608	MK-8617	7.655	-9.8
2609	ritanserin	7.656	-10.7
2610	C-021	7.708	-8.6
2611	purmorphamine	7.720	-10.8
2612	WAY-600	7.765	-11.9
2613	dasabuvir	7.812	-8.9
2614	BAY1217389	7.867	-10.1
2615	ABT-072	7.893	-8.6
2616	licofelone	7.897	-9.9
2617	BIBU-1361	7.905	-10.1
2618	eact	7.958	-5.8
2619	loratadine	7.979	-8.9
2620	GPBAR-A	8.011	-8.2
2621	ETC-206	8.026	-10.0
2622	OTS167	8.086	-9.2
2623	telcagepant	8.086	-10.8
2624	FK-888	8.092	-10.4
2625	HKI-357	8.108	-9.4
2626	PPT	8.193	-8.6
2627	LXS196	8.237	-8.6
2628	pelitinib	8.296	-8.8
2629	UNC0646	8.312	-9.4
2630	IOWH032	8.358	-11.1
2631	TEN-010	8.360	-8.6
2632	GSK650394	8.367	-10.9
2633	indinavir	8.368	-9.3
2634	UNC0224	8.390	-7.3
2635	blonanserin	8.450	-9.3
2636	bosentan	8.496	-9.3
2637	EPZ011989	8.532	-9.4
2638	UNC0321	8.545	-7.8
2639	NS-5806	8.551	-8.1
2640	afatinib	8.610	-9.5
2641	UNC0737	8.617	-9.5
2642	amcasertib	8.784	-7.5
2643	apixaban	8.863	-8.8
2644	NVP-BSK805	8.875	-10.6
2645	AR-12	8.893	-9.3
2646	ITI214	8.980	-9.8
2647	BMS-986142	9.060	-10.2
2648	BMS-935177	9.102	-10.7
2649	belizatinib	9.138	-11.2
2650	Mps-BAY-2a	9.203	-10.2
2651	yohimbine	9.225	-9.6
2652	EPZ005687	9.250	-10.6
2653	MK-4074	9.251	-9.2
2654	lusutrombopag	9.273	-9.8
2655	entrectinib	9.285	-12.2
2656	UNC0642	9.289	-9.7
2657	TAK-901	9.310	-11.5
2658	PA-452	9.326	-8.6
2659	tazemetostat	9.428	-10.0
2660	avoralstat	9.581	-9.4
2661	XL388	9.777	-7.0
2662	telmisartan	9.927	-10.4
2663	FR-122047	9.973	-8.6
2664	netupitant	10.024	-9.8
2665	tazarotene	10.163	-10.2
2666	AV-608	10.191	-9.7
2667	GDC-0810	10.217	-8.5
2668	BGT226	10.236	-4.0
2669	milademetan	10.404	-9.1
2670	ENMD-2076	10.463	-10.5
2671	SAR-245409	10.540	-12.4
2672	exherin	10.576	-0.6
2673	AZD2014	10.581	-9.2
2674	ivosidenib	10.587	-8.9
2675	PI3K-IN-2	10.612	-8.6
2676	edoxaban	10.689	-8.7
2677	deracoxib	10.724	-8.8
2678	WYE-687	10.741	-10.0
2679	cabergoline	10.762	-8.2
2680	BAG-956	10.762	-6.8
2681	T-0156	10.766	-7.1
2682	MK-0893	10.792	-10.4
2683	GDC-0084	10.824	-9.6
2684	WYE-354	10.904	-8.6
2685	CH5132799	10.939	-8.8
2686	BIX-01294	10.941	-10.7
2687	celecoxib	10.980	-9.8
2688	SB-2343	11.133	-9.2
2689	LY2228820	11.139	-10.0
2690	CC-223	11.164	-10.2
2691	AZ20	11.274	-8.0
2692	PRN1371	11.316	-8.7
2693	pirozadil	11.334	-9.3
2694	NIDA-41020	11.338	-9.2
2695	LY2784544	11.478	-10.7
2696	ABBV-744	11.482	-9.7
2697	AM-251	11.561	-9.6
2698	AM-281	11.572	-9.4
2699	rimonabant	11.592	-10.0
2700	torin-1	11.666	-6.7
2701	firsocostat	11.725	-5.9
2702	BAY-1895344	11.753	-7.8
2703	NVP-BEZ235	11.763	-7.5
2704	EGF816	11.840	-8.6
2705	PI3Kd-IN-2	11.853	-9.7
2706	NVP-AUY922	11.885	-9.0
2707	GP1a	12.064	-10.9
2708	I-BRD9	12.070	-10.6
2709	ixabepilone	12.165	-3.7
2710	PDD-00017273	12.198	-9.0
2711	BMS-214662	12.211	-8.7
2712	epothilone-A	12.251	-6.1
2713	APY0201	12.260	-10.0
2714	epothilone-B	12.280	-5.8
2715	avapritinib	12.478	-7.7
2716	ETP-46464	12.644	-4.8
2717	GANT-58	12.667	-6.3
2718	TMC647055	12.764	15.0
2719	ARQ-092	12.820	-10.7
2720	GP2a	13.012	-10.0
2721	vorapaxar	13.027	-9.7
2722	G-749	13.028	-10.7
2723	PI-103	13.042	-9.8
2724	bromocriptine	13.124	-7.4
2725	AMG-510	13.189	-4.3
2726	lorlatinib	13.217	-6.9
2727	meclinertant	13.233	-9.9
2728	pyronaridine	13.259	-9.4
2729	elagolix	13.284	-7.9
2730	TC-NTR1-17	13.335	-8.6
2731	tipifarnib	13.438	-7.2
2732	dihydroergotamine	13.483	-6.2
2733	propidium-iodide	13.513	-8.9
2734	PHTPP	13.581	-8.8
2735	PF-4981517	13.702	-7.8
2736	KU-0063794	13.805	-3.9
2737	BMS-207940	13.863	-9.5
2738	trequinsin	13.865	-8.4
2739	dipyridamole	13.893	-2.7
2740	siremadlin	13.917	-5.2
2741	ruboxistaurin	13.938	-2.7
2742	ML228	14.068	-11.0
2743	BQ-123	14.083	-3.6
2744	karenitecin	14.216	-9.2
2745	buparlisib	14.349	-9.0
2746	tadalafil	14.423	-10.7
2747	BMS-688521	14.486	-7.3
2748	clofazimine	14.509	-8.8
2749	midostaurin	14.596	-1.9
2750	7-hydroxystaurosporine	14.660	-3.2
2751	MRS-1220	14.769	-10.3
2752	neurodazine	14.781	-10.9
2753	mangafodipir	14.845	-3.9
2754	ZSTK-474	14.876	-8.0
2755	NDT-9513727	15.099	-9.6
2756	remimazolam	15.279	-7.6
2757	protoporphyrin-IX	15.397	8.6
2758	OTX015	15.629	-8.1
2759	alisertib	15.727	-6.6
2760	INCB-057643	15.831	-8.2
2761	repotrectinib	15.878	-7.7
2762	BAY-1436032	15.886	-10.5
2763	JQ1-___	16.115	-8.4
2764	deserpidine	16.190	-9.5
2765	selitrectinib	16.250	-5.7
2766	I-BET-762	16.433	-8.9
2767	CB-5083	16.669	-8.6
2768	chlorophyllin	16.854	1.8
2769	torin-2	16.945	-10.0
2770	baloxavir-marboxil	17.021	-5.5
2771	AZD9496	17.231	-9.5
2772	epothilone-D	17.510	-4.5
2773	MIW-815	17.767	3.0
2774	clotrimazole	17.969	-7.5
2775	BMS-309403	18.017	-10.1
2776	baloxavir	19.091	-6.6
