rank	ligand	N_Fe_dist_A	vina_kcal_mol
527	mepacrine	3.300	-8.7
528	DMAB-anabaseine	3.300	-8.5
529	NMS-E973	3.302	-9.5
530	pyridoxal	3.303	-6.1
531	urapidil	3.304	-9.0
532	metronidazole	3.305	-5.1
533	zometapine	3.307	-8.6
534	clobenpropit	3.308	-7.8
535	tivozanib	3.310	-11.0
536	SRC-kinase-inhibitor-I	3.310	-10.0
537	PF-06412562	3.310	-10.6
538	cytochlor	3.310	-7.3
539	sanazole	3.311	-6.1
540	bevenopran	3.311	-9.5
541	MK-8245	3.312	-10.6
542	9-aminoacridine	3.312	-9.2
543	copper-histidine	3.312	-5.4
544	halopemide	3.314	-11.0
545	amiloride	3.317	-7.0
546	GSK256066	3.317	-8.4
547	mercaptopurine	3.317	-5.5
548	kinetin	3.321	-7.9
549	pradefovir	3.322	-10.3
550	zoxazolamine	3.322	-7.0
551	terconazole	3.323	-11.5
552	PF-04217903	3.325	-10.1
553	uric-acid	3.325	-6.5
554	pralidoxime-chloride	3.325	-5.8
555	EED226	3.326	-9.2
556	lemborexant	3.327	-11.6
557	dofequidar	3.327	-11.4
558	amprolium	3.329	-8.6
559	KRN-633	3.329	-9.1
560	ZM-306416	3.332	-8.7
561	AT13148	3.333	-9.0
562	methyl-nicotinate	3.334	-5.5
563	N-alpha-methylhistamine-dihydrochloride	3.336	-4.7
564	N-hydroxynicotinamide	3.336	-5.8
565	SCH-51344	3.336	-7.7
566	RS-127445	3.336	-9.8
567	oxiniacic-acid	3.337	-5.7
568	ABT-202	3.337	-6.4
569	ganciclovir	3.338	-6.8
570	enilconazole	3.339	-7.6
571	BS-181	3.342	-8.8
572	BRL-54443	3.342	-7.9
573	oxiconazole	3.342	-9.8
574	nornicotine	3.342	-6.4
575	AZD1080	3.343	-10.0
576	cis-urocanic-acid	3.344	-5.3
577	_4_5_6_7-tetrabromobenzotriazole_	3.345	-6.3
578	BMS-817378	3.346	-10.7
579	desloratadine	3.346	-10.1
580	IB-MECA	3.347	-9.5
581	chloroquine	3.349	-8.7
582	cotinine	3.349	-7.0
583	valaciclovir	3.350	-8.0
584	entinostat	3.351	-10.5
585	DSM265	3.352	-10.9
586	MK-8033	3.352	-10.1
587	CGP-57380	3.352	-9.1
588	lofemizole	3.352	-7.1
589	LY2795050	3.353	-11.7
590	GSK2606414	3.353	-10.6
591	NSC-5844	3.353	-10.3
592	pralidoxime	3.354	-5.8
593	2-thiouracil	3.354	-4.7
594	CF102	3.354	-9.0
595	AMD11070	3.354	-9.0
596	HEMADO	3.355	-8.4
597	BI-78D3	3.355	-8.6
598	cardionogen-1	3.356	-9.4
599	pyridoxine	3.357	-5.9
600	SCH-202676	3.358	-9.0
601	7-methylxanthine	3.358	-6.4
602	GW-803430	3.359	-10.0
603	CG-400549	3.360	-10.0
604	timolol	3.360	-7.3
605	MDL-27531	3.360	-8.1
606	tinidazole	3.361	-6.7
607	ML324	3.362	-10.0
608	5-iodo-A-85380	3.363	-6.3
609	altretamine	3.364	-6.5
610	SB-747651A	3.364	-9.0
611	huperzine-A	3.367	-9.9
612	niacin	3.367	-5.4
613	cyclocytidine	3.367	-7.4
614	myristyl-nicotinate	3.368	-7.7
615	HER2-Inhibitor-1	3.368	-11.6
616	nitroxoline	3.374	-7.4
617	cimetidine	3.375	-6.8
618	CEP-32496	3.376	-11.5
619	BMS-986205	3.376	-11.9
620	benznidazole	3.377	-8.5
621	azosemide	3.378	-8.2
622	NBQX	3.378	-9.3
623	AZD5438	3.379	-10.0
624	PTC-028	3.386	-12.0
625	3-deazaneplanocin-A	3.386	-7.7
626	aminothiadiazole	3.388	-4.0
627	loreclezole	3.388	-7.9
628	etomidate	3.390	-8.1
629	2-chloropyrazine	3.391	-4.2
630	sildenafil	3.391	-8.8
631	imidafenacin	3.392	-9.4
632	S1P1-agonist-III	3.393	-10.0
633	chloroxoquinoline	3.394	-7.7
634	ML130	3.398	-10.1
635	theobromine	3.401	-6.7
636	pelrinone	3.402	-8.3
637	PF-562271	3.403	-11.1
638	MK-2461	3.404	-9.7
639	fiacitabine	3.407	-7.4
640	preladenant	3.409	-10.5
641	SMER-28	3.410	-7.6
642	dimetridazole	3.412	-5.2
643	PP-1	3.413	-8.9
644	arbidol	3.413	-6.7
645	GTS21	3.413	-9.3
646	GW-4064	3.413	-10.5
647	LGK-974	3.416	-10.6
648	TTP-22	3.416	-7.9
649	isaxonine	3.416	-5.5
650	OXA-06	3.416	-10.3
651	GPP-78	3.417	-11.2
652	pexidartinib	3.418	-11.1
653	6-benzylaminopurine	3.418	-9.2
654	polaprezinc	3.418	-7.7
655	ibrutinib	3.419	-9.8
656	thiamine-pyrophosphate	3.420	-9.2
657	NDD-094	3.422	-6.8
658	ethacridine-lactate-monohydrate	3.425	-8.5
659	metyrapone	3.425	-8.3
660	LY2811376	3.426	-9.6
661	pimodivir	3.428	-10.3
662	CPI-203	3.429	-7.2
663	verucerfont	3.429	-9.3
664	acetazolamide	3.431	-6.6
665	linsidomine	3.431	-5.8
666	RX-3117	3.431	-7.3
667	5-fluoro-3-pyridyl-methanol	3.432	-5.2
668	fomepizole	3.432	-3.9
669	abemaciclib	3.433	-11.0
670	immethridine	3.436	-6.4
671	nitenpyram	3.436	-7.4
672	monosodium-alpha-luminol	3.437	-7.5
673	NSC-663284	3.440	-8.4
674	zoliflodacin	3.441	-6.8
675	GSK2656157	3.442	-8.4
676	BMS-387032	3.443	-9.2
677	CBiPES	3.445	-10.1
678	tucatinib	3.445	-11.8
679	OSI-930	3.446	-10.9
680	GSK369796	3.447	-10.4
681	ocinaplon	3.448	-9.9
682	hydroxychloroquine	3.449	-8.7
683	sorafenib	3.449	-11.6
684	lifirafenib	3.449	-13.2
685	BMS-470539	3.449	-9.4
686	AV-412	3.450	-10.3
687	niridazole	3.451	-6.3
688	nimorazole	3.452	-6.4
689	MPI-0479605	3.452	-11.1
690	CP-93129	3.453	-7.7
691	florifenine	3.453	-9.9
692	macozinone	3.454	-9.9
693	cloxyquin	3.455	-7.5
694	mepiroxol	3.456	-5.4
695	talipexole	3.457	-6.7
696	CGP-78608	3.458	-8.3
697	olaparib	3.458	-11.0
698	A-1070722	3.458	-10.1
699	AZD2461	3.459	-13.1
700	rosiglitazone	3.460	-10.3
701	VU591	3.460	-9.7
702	eniluracil	3.460	-5.9
703	ranirestat	3.461	-10.9
704	doxofylline	3.462	-7.6
705	CP-673451	3.462	-8.7
706	imidacloprid	3.464	-7.8
707	ZK-93423	3.464	-9.9
708	AQ-13	3.464	-8.4
709	BW-723C86	3.467	-8.3
710	JW-74	3.467	-10.7
711	delgocitinib	3.468	-8.3
712	PIM-447	3.468	-9.7
713	CGS-15943	3.469	-8.8
714	MNITMT	3.470	-6.8
715	gepotidacin	3.471	-11.7
