cid	smiles	pchembl	n_records	types	heavy	verdict	max_tc	nearest_active	in_domain
CHEMBL442306	CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(=O)NCCCCCC(=O)O)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O	6.05	1	IC50	81	out-of-scope	0.117	posaconazole	False
CHEMBL443517	CN(Cc1ccc(C#CC(C)(C)C)cc1)c1cccc2c1CCC(=O)N2	6.41	2	IC50	26	out-of-scope	0.111	butoconazole	False
CHEMBL445526	C[C@H]1[C@@H](OCC(=O)CO[C@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3	5.62	1	IC50	44	out-of-scope	0.118	ketoconazole	False
CHEMBL445599	C=C(C)[C@H](CC=C(C)C)C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O	4.52	1	EC50	44	out-of-scope	0.117	ketoconazole	False
CHEMBL451226	O=C(O)CC[N+](=O)[O-]	4.41	11	IC50	8	out-of-scope	0.049	ketoconazole	False
CHEMBL454321	CCCCCCCCCCCC#CCCCCC(=O)O	5.52	7	IC50	20	out-of-scope	0.071	ketoconazole	False
CHEMBL454322	CCCCCCCCCCCCC#CCCCCC(=O)O	5.82	7	IC50	21	out-of-scope	0.071	ketoconazole	False
CHEMBL457725	COc1cc(-c2c(C)cccc2C)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1	7.35	1	IC50	29	in-envelope-novel	0.116	bifonazole	True
CHEMBL457726	COc1cc(-c2c(C(C)C)cccc2C(C)C)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1	7.42	1	IC50	33	in-envelope-novel	0.111	bifonazole	True
CHEMBL457905	COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1	7.26	2	IC50	27	in-envelope-novel	0.185	bifonazole	True
CHEMBL457906	COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1C	7.57	1	IC50	28	in-envelope-novel	0.13	bifonazole	True
CHEMBL458328	CCCCCC#CCC#CCC#CCC#CCCCC(=O)O	5.43	8	IC50	22	out-of-scope	0.069	ketoconazole	False
CHEMBL458817	COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)ccc1-c1c(C)cccc1C	7.5	1	IC50	29	in-envelope-novel	0.116	bifonazole	True
CHEMBL458829	COc1cc(C(C)C#Cc2c(C)nc(N)nc2N)ccc1-c1c(C(C)C)cccc1C(C)C	7.39	1	IC50	33	in-envelope-novel	0.117	sertaconazole	True
CHEMBL459177	COc1cc(-c2ccccc2)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1	7.48	1	IC50	27	in-envelope-novel	0.188	bifonazole	True
CHEMBL459178	COc1cc(-c2ccccc2)cc([C@H](C)C#Cc2c(C)nc(N)nc2N)c1	7.43	1	IC50	27	in-envelope-novel	0.188	bifonazole	True
CHEMBL459354	O=C(C(=O)c1c[nH]c2ccc(O)cc12)c1c[nH]c2ccc(O)cc12	4.05	2	IC50	24	in-envelope-novel	0.109	oxiconazole	True
CHEMBL465843	COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC	4.02	1	IC50	23	out-of-scope	0.112	ketoconazole	False
CHEMBL470243	CON1C(=O)[C@H]2NC(=O)[C@]13Oc1cc(O)c(Cl)cc1[C@@H]3SS2	7.55	1	IC50	22	out-of-scope	0.141	luliconazole	False
CHEMBL475816	CC(=O)C1=C(O)C=C2Oc3c(C(N)=O)c(O)cc(O)c3[C@]2(C)C1=O	7.36	1	IC50	24	out-of-scope	0.121	ketoconazole	False
